tag,n_rows,n_speakers,mean_duration_s
"texas accent, accepting challenge",1,1,14.813
"texas drawl, measured",1,1,14.792
"normal voice, satisfied sigh",1,1,16.528
"texas drawl, one last time",1,1,16.528
"deep texas drawl, commanding",1,1,18.277
"texas drawl, reflective whisper",1,1,13.181
"texas accent, optimistically",1,1,13.552
"texas accent, sympathetic",1,1,16.389
immediately reassuring,1,1,23.661
"texas accent, appreciatively",1,1,15.859
"louder, stumbling over words",1,1,17.608
"texas drawl, also slurred",1,1,17.608
cracking slightly,1,1,13.315
"texas drawl, offended",1,1,18.501
measured reverence,1,1,15.920
"louder, with conviction",1,1,14.251
"texas accent, sage-like",1,1,17.651
voice becoming clearer,1,1,17.651
boisterous energy,1,1,13.280
"texas accent, thoughtful tone",1,1,13.739
"texas accent, slow and suspicious",1,1,15.120
"texas drawl, philosophical tone",1,1,21.995
"texas drawl, laughing then coughing",1,1,16.864
"texas accent, decisively",1,1,14.024
"texas accent, forcefully",1,1,16.296
voice strained,1,1,16.296
"texas accent, warm voice",1,1,17.413
"regular voice, slightly tired",1,1,17.413
"texas accent, calculating",1,1,13.912
"texas accent, slightly slurred",1,1,16.440
"texas accent, respectfully",1,1,13.205
"texas accent, contemptuous",1,1,13.587
"stunned silence, then weakly",1,1,14.803
"texas accent, steadier",1,1,17.440
"texas accent, shrewdly",1,1,15.256
"texas accent, sarcastically sweet",1,1,15.099
words trembling out,1,1,15.611
voice quaking,1,1,20.296
voice rising with anguish,1,1,20.445
emotional release,1,1,19.784
"indian english accent, eagerly",1,1,17.320
"israeli accent, suddenly emotional",1,1,18.512
applauding,1,1,21.360
voice flowing,1,1,16.787
"indian english accent, horrified",1,1,13.136
"indian english accent, worriedly",1,1,3.637
"indian english accent, sympathetically",1,1,16.432
"israeli accent, interested",1,1,18.157
"brazilian accent, businesslike",1,1,3.269
"brazilian accent, confident tone",1,1,3.584
"indian english accent, laughing",1,1,16.787
"in indian english accent, gentle tone",1,1,19.819
appreciative nod,1,1,21.923
"hispanic accent, diplomatically",1,1,15.560
"indian english accent, desperately",1,1,15.448
"brazilian accent, satisfied",1,1,3.115
in an amazed tone,1,1,22.440
"indian english accent, proudly",1,1,18.733
"indian english accent, shakily",1,1,16.117
"indian english accent, firm but kind",1,1,17.309
"israeli accent, warming up",1,1,20.469
"hispanic accent, haughtily",1,1,15.123
"brazilian accent, dismissive tone",1,1,4.357
"indian english accent, excited",1,1,18.040
"brazilian accent, practicing",1,1,3.725
"hispanic accent, nervously",1,1,17.837
"indian english accent, cold fury",1,1,4.165
"indian english accent, sarcastic tone",1,1,4.165
"indian english accent, warm",1,1,18.651
"indian english accent, quietly resigned",1,1,18.901
"indian english accent, cautious",1,1,20.552
voice becoming worried,1,1,20.552
"hispanic accent, frustratedly",1,1,13.413
"hispanic accent, resignedly",1,1,15.984
voice growing cold again,1,1,15.984
"brazilian accent, smooth delivery",1,1,4.933
full brazilian accent,1,1,3.949
brazilian accent creeping in,1,1,3.949
"indian english accent, firm",1,1,3.555
"steady, resigned",1,1,3.539
"indian english accent, incredulous",1,1,3.933
"back to accent, curious tone",1,1,16.304
cheerful gasp,1,1,13.891
"indian english accent, quiet defiance",1,1,4.811
"indian english accent, humbly",1,1,15.723
"indian english accent, firm voice",1,1,15.488
"hispanic accent, quietly confident",1,1,18.147
"indian english accent, chuckling warmly",1,1,16.723
"indian english accent, brightening",1,1,13.757
"indian english accent, pleading quality",1,1,14.019
"indian english accent, weary tone",1,1,6.216
"in a hispanic accent, coldly",1,1,19.139
"indian english accent, questioning tone",1,1,15.803
"indian english accent, angrily",1,1,21.528
"indian english accent, approving tone",1,1,17.709
"indian english accent, wounded",1,1,17.309
ending in delighted exclamation,1,1,20.696
"indian english accent, sharply",1,1,14.837
marveling,1,1,17.621
"indian english accent, dignified tone",1,1,18.941
"indian english accent, steadily",1,1,17.043
"indian english accent, sternly",1,1,15.275
"indian english accent, calling back",1,1,15.240
with rising delight,1,1,21.144
"indian accent, defensively",1,1,17.947
excitedly agreeing,1,1,14.483
"indian english accent, sarcastically",1,1,17.733
"indian english accent, cheerfully",1,1,16.459
"indian english accent, peacefully",1,1,18.389
in jovial tone,1,1,20.307
"indian english accent, hopefully",1,1,18.856
nervous laugh hysterically,1,1,22.755
"indian english accent, exasperated",1,1,18.696
voice quivering with anticipation,1,1,18.571
"indian english accent, powerfully",1,1,19.523
"indian english accent, serenely",1,1,15.872
"indian english accent, relieved",1,1,17.211
more coaxingly,1,1,17.211
"indian accent, skeptically",1,1,21.629
"indian english accent, resignedly",1,1,11.733
"in indian english accent, measured tone",1,1,18.339
"back to accent, soothingly",1,1,19.261
"indian accent, slowly",1,1,20.011
rising with determination,1,1,20.011
"indian accent, worriedly",1,1,19.848
"indian accent, intrigued",1,1,21.296
voice accelerating with realization,1,1,21.296
"back to accent, softly",1,1,18.293
voice singing with joy,1,1,18.656
crescendo of gratitude,1,1,18.656
"indian english accent, cautiously",1,1,16.339
breathless with awe,1,1,23.075
voice climbing with admiration,1,1,23.075
"indian accent, cautiously",1,1,23.197
"indian accent, doubtfully",1,1,24.067
rhythmic and soothing,1,1,19.773
"stunned silence, then monotone",1,1,26.928
gratefully tired,1,1,18.755
trembling with hope,1,1,13.661
confused but relieved,1,1,22.603
erupts gleefully,1,1,11.475
louder excitement,1,1,12.877
happier,1,1,21.469
honest uncertainty,1,1,26.021
"quieter, pained",1,1,13.187
building speed,1,1,9.512
skeptically quiet,1,1,23.992
quieter revelation,1,1,15.795
humbled,1,1,15.360
gleefully screaming,1,1,13.101
hyperventilating with joy,1,1,13.101
determined but happy,1,1,12.045
confidentially excited,1,1,12.531
"softer, understanding",1,1,13.589
hopeful uncertainty,1,1,15.128
rushed with emotion,1,1,12.189
warm and swift,1,1,12.552
teasingly proud,1,1,12.552
remorseful,1,1,13.613
breathless with possibility,1,1,12.344
overflowing with warmth,1,1,14.104
joyful recognition,1,1,14.149
softly jubilant,1,1,17.523
dropping an octave,1,1,12.008
exasperated screech,1,1,8.728
trails off in terror,1,1,8.728
exhausted wheeze,1,1,9.528
in a fluttering tone,1,1,13.027
relieved squeak,1,1,10.701
voice drops to panicked whisper,1,1,9.443
speeding up with fear,1,1,9.443
getting quieter with dread,1,1,12.173
victorious yell,1,1,7.547
frantically rummaging,1,1,11.907
negotiating desperately,1,1,9.176
"rustling pause, then explosive",1,1,10.376
scribbling,1,1,12.819
"softer, almost caring",1,1,12.019
"hispanic accent, impressed",1,1,12.019
"hispanic accent, gruffly",1,1,12.915
voice rising fearfully,1,1,12.915
"israeli accent, conflicted whisper",1,1,13.288
"israeli accent, amused",1,1,13.765
"israeli accent, slight chuckle",1,1,12.821
"israeli accent, carefully",1,1,15.363
almost bouncing,1,1,12.797
"brazilian accent, reverently",1,1,12.765
"in brazilian accent, proudly",1,1,17.072
"brazilian accent, delighted",1,1,14.160
laughing groan,1,1,11.699
in mock suspicion,1,1,11.699
building to emphasis,1,1,12.525
in a confessional rush,1,1,14.443
with building sincerity,1,1,12.507
tender admission,1,1,12.507
voice dropping reverently,1,1,11.691
increasingly thoughtful,1,1,14.352
voice hushing,1,1,14.221
regular speaking voice,1,1,15.997
contemplative exhale,1,1,15.997
trailing into wonder,1,1,12.291
yells away from phone,1,1,11.624
in a contented sigh,1,1,14.456
voice dropping venomously,1,1,15.613
indignant splutter,1,1,15.613
suddenly monotone,1,1,12.184
voice rising in mortification,1,1,15.560
interrupting smoothly,1,1,14.712
in bored tones,1,1,17.741
"japanese accent, softer",1,1,15.293
"jamaican patois, philosophically",1,1,13.512
voice still amused,1,1,15.256
voice rising respectfully,1,1,15.005
in musical tones,1,1,21.173
powerfully concluding,1,1,13.421
"jamaican patois, absolutely certain",1,1,13.421
voice getting gravelly,1,1,16.157
voice softening with conviction,1,1,12.291
"jamaican patois, deeply",1,1,13.176
"jamaican patois, confidently",1,1,15.187
"japanese accent, voice tightening",1,1,16.005
"normal voice, muttering",1,1,13.619
"new york accent, amused respect",1,1,13.624
"quieter, warning",1,1,13.624
voice softening halfway,1,1,13.240
"new york accent, gruffly",1,1,13.240
"jamaican patois, quietly powerful",1,1,13.176
"new york accent, pleased",1,1,14.744
warmer suddenly,1,1,13.357
"new york accent, exasperated groan",1,1,13.688
"new york accent, softening",1,1,14.424
"new york accent, bravado",1,1,14.792
"new york accent, condescending",1,1,14.685
"new york accent, mockingly",1,1,14.259
"new york accent, defiant",1,1,13.923
"new york accent, heartily",1,1,15.224
whispering now,1,1,15.016
"new york accent, backpedaling",1,1,13.331
"new york accent, conspiratorially",1,1,15.123
in exasperated tone,1,1,14.787
voice speeding up frantically,1,1,14.787
in mock sweetness,1,1,17.877
"new york accent, eagerly",1,1,14.051
devastated whisper,1,1,15.680
"new york accent, desperately",1,1,15.635
fond sigh,1,1,15.453
pedantically,1,1,18.381
glowingly,1,1,16.952
happily concluding,1,1,16.952
"new york accent, sincerely",1,1,13.853
reluctant growl,1,1,13.224
"new york accent, conceding",1,1,13.773
stubborn,1,1,15.347
"new york accent, aggressive",1,1,17.296
"new york accent, warningly",1,1,12.088
standing tone implied,1,1,15.155
"new york accent, ending warmly",1,1,15.155
"welsh accent, skeptical tone",1,1,12.285
whispers playfully,1,1,12.840
"welsh accent, resigned tone",1,1,13.309
in a tender murmur,1,1,15.501
whoops excitedly,1,1,15.501
determined chuckle,1,1,13.091
"welsh accent, tired laugh",1,1,14.891
"new york accent, suspicious again",1,1,18.035
"firm, louder",1,1,13.344
in dramatic despair,1,1,15.640
slightly less harsh,1,1,15.496
in feigned shock,1,1,15.555
voice perking up with energy,1,1,17.957
exhausted but defiant,1,1,17.957
whistling low,1,1,16.552
"new york accent, calculating",1,1,16.552
trails off thoughtfully,1,1,16.552
speeding up bashfully,1,1,13.469
monotone resignation,1,1,16.685
professorial drone,1,1,14.813
clearing throat officiously,1,1,17.680
quieter contemplation,1,1,17.680
flipping page,1,1,16.824
"new york accent, decisively",1,1,16.824
"slower, more menacing",1,1,18.931
thoughtful and slow,1,1,13.891
composed quickly,1,1,14.120
sincerely quiet,1,1,15.280
calm and warm,1,1,15.331
steady and strong,1,1,15.152
"louder, stressed",1,1,15.301
whispered question,1,1,11.720
giggling louder,1,1,14.152
thoughtfully excited,1,1,15.640
revelation tone,1,1,15.640
more afraid,1,1,11.811
agonized whisper,1,1,10.712
with enthusiasm,1,1,16.811
suddenly rapidly impatient,1,1,12.360
mind-blown whisper,1,1,15.712
accusatory tremor,1,1,14.931
proclaming boldly,1,1,15.341
lovingly enthusiastic,1,1,15.381
raw voice,1,1,15.000
then exploding,1,1,12.211
harsh tone,1,1,17.272
weeping rage,1,1,17.141
increasingly menacing,1,1,16.760
mystified tone,1,1,18.672
chuckling adoringly,1,1,18.672
struggling to contain fury,1,1,14.472
choking with rage,1,1,14.472
fierce grunt,1,1,20.811
mysterious,1,1,19.451
nervous growl,1,1,16.331
building to explosive fury,1,1,16.331
trembling with disgust,1,1,17.403
each word punctuated with rage,1,1,18.221
anguished roar,1,1,16.872
hammering rhythm,1,1,18.272
growling deeper,1,1,19.061
warning whisper,1,1,20.192
weary rumble,1,1,19.552
checks screen,1,1,18.195
relieved but stern,1,1,15.440
sorrowful growl,1,1,20.571
whispered laugh,1,1,20.520
gaining slight steadiness,1,1,14.981
tsks rapidly,1,1,16.413
voice bursting with realization,1,1,10.691
more enlightened,1,1,10.691
voice expanding with understanding,1,1,10.691
voice bright with hope,1,1,10.432
voice radiating pure joy,1,1,11.832
voice brightening despite the mishap,1,1,10.872
voice growing brighter with each word,1,1,13.432
voice dissolving completely,1,1,17.531
brightly amused,1,1,12.651
rising gleefully,1,1,21.120
musical laughter,1,1,20.211
compassionate murmur,1,1,22.541
"welsh accent, voice cracking",1,1,12.248
soft but clear,1,1,15.024
soft frustration,1,1,15.424
"welsh accent, pompously",1,1,12.056
contemplative mutter,1,1,15.133
rattling cough,1,1,15.315
"welsh accent, incredulous",1,1,11.987
stirring vigorously,1,1,16.507
sincerely soft,1,1,15.013
"welsh accent, bitterly",1,1,13.709
uncomfortable grumble,1,1,16.896
"welsh accent, exhaustedly",1,1,15.144
gaining volume,1,1,14.832
growing more optimistic,1,1,13.771
"scouse accent, gruff voice",1,1,12.427
gleeful trembling,1,1,14.923
inquiring tone,1,1,13.371
"scouse accent, chuckling darkly",1,1,10.515
quickly bitter,1,1,9.352
menacing quiet,1,1,17.517
"dutch accent, business-like",1,1,9.773
trails off worriedly,1,1,18.219
growing frustrated,1,1,10.715
increasingly rapid,1,1,14.643
precisely measured words,1,1,13.320
rapidly systematic,1,1,14.072
quieter but steady,1,1,14.072
"dutch accent, sympathetically",1,1,11.965
measured precision,1,1,12.677
"rhythmic, steady pace",1,1,14.192
mechanically cheerful,1,1,14.192
slightly altered pitch,1,1,14.883
"dutch accent, honestly",1,1,11.667
"dutch accent, gentler now",1,1,15.475
"in dutch accent, pleading",1,1,13.771
speeding up mechanically,1,1,16.587
quietly methodical,1,1,15.773
"in dutch accent, measured tone",1,1,14.211
"dutch accent, exhaling slowly",1,1,15.253
voice dropping to reverence,1,1,16.296
gentle contradiction,1,1,12.877
moved to tears,1,1,11.677
breaking into joy,1,1,11.677
sweetly cooing,1,1,12.939
amused tolerance,1,1,14.032
quieting with meaning,1,1,14.291
hushed suddenly,1,1,12.619
whispering mischievously,1,1,13.901
incredulous squeak,1,1,11.275
speeding up with inspiration,1,1,11.547
giggling with glee,1,1,11.867
moved and delighted,1,1,12.819
voice building with rage,1,1,11.867
exhales relieved,1,1,13.413
erupting louder,1,1,15.949
sniffles joyfully,1,1,14.371
with joy,1,1,13.083
giggles increasing,1,1,15.891
enthusiastically grateful,1,1,14.083
breathless from laughing,1,1,15.587
fondly laughing,1,1,16.989
gentle firmness,1,1,14.907
increasingly protective,1,1,14.907
delicate tone,1,1,15.787
hollow reassurance,1,1,16.960
faltering cheer,1,1,16.960
strained brightness,1,1,15.867
dropping to pleading,1,1,15.867
"dutch accent, intense",1,1,16.885
artificial brightness returning,1,1,17.003
speaking over child's head,1,1,17.003
"dutch accent, contemplative hum",1,1,18.629
"dutch accent, embarrassed mumble",1,1,20.008
"dutch accent, simply",1,1,22.213
excited burst,1,1,22.213
"dutch accent, reverent whisper",1,1,22.213
"dutch accent, melancholic tone",1,1,22.680
technically speaking,1,1,20.664
renewed confidence,1,1,16.203
sudden vulnerability,1,1,16.811
"dutch accent, gentle",1,1,23.451
reminiscent,1,1,19.717
each word dripping with irony,1,1,20.317
becoming more emotional,1,1,18.611
"geordie accent, skeptical",1,1,14.373
slowing down thoughtfully,1,1,21.267
"geordie accent, cynical laugh",1,1,14.123
"geordie accent, weary",1,1,14.803
boastful energy,1,1,14.883
pleasantly shocked,1,1,18.749
vulnerable quaver,1,1,23.733
trying to sound strict,1,1,17.317
"geordie accent, commanding tone",1,1,17.421
ironic undertone,1,1,23.323
hesitant start,1,1,17.760
"geordie accent, incredulous",1,1,17.139
"geordie accent, quieter",1,1,16.315
mock stern voice,1,1,17.120
increasingly charmed,1,1,16.459
with mounting excitement,1,1,16.677
"geordie accent, reluctant",1,1,17.253
muttering fondly,1,1,17.579
"geordie accent, explosive",1,1,16.755
exhausted but pleased,1,1,14.931
weak voice,1,1,16.571
"stronger, angry",1,1,16.571
in a storytelling voice,1,1,21.117
offended snort,1,1,19.747
consoling,1,1,21.880
desperately quick,1,1,16.707
reminiscing voice,1,1,19.899
coaching firmly,1,1,19.563
"defensive, louder",1,1,20.104
choking voice,1,1,20.104
sharp cough,1,1,13.912
gently but firmly,1,1,14.024
with growing satisfaction,1,1,20.141
defensive rasp,1,1,18.184
stammering rhythm,1,1,21.741
nostalgic voice,1,1,24.152
small sob,1,1,15.795
very slow,1,1,11.672
quieter and impressed,1,1,12.672
realistically,1,1,18.432
getting enthusiastic,1,1,14.661
coaxing whisper,1,1,14.720
words tumbling out between giggles,1,1,10.080
savoring each word,1,1,13.552
ending in happy sigh,1,1,11.571
building enthusiasm through phrase,1,1,12.032
ending in contented hum,1,1,13.312
voice soaring like bird song,1,1,13.312
desperate squeak,1,1,8.040
whispers seductively,1,1,19.352
building dread with each word,1,1,27.024
firmly optimistic,1,1,16.152
gently realistic,1,1,15.301
advising firmly,1,1,18.112
"dutch accent, resigned whisper",1,1,11.491
"dutch accent, hollow tone",1,1,12.000
"dutch accent, quietly wounded",1,1,11.331
through giggles and tears,1,1,12.840
more happily,1,1,12.840
"quieter, almost reverent",1,1,13.691
ending in exhausted happiness,1,1,11.600
in a muffled shout,1,1,11.600
laugh turning dark,1,1,12.403
"dutch accent, dreamily",1,1,12.403
words fading with exhaustion,1,1,16.131
more curious,1,1,11.581
in measured disbelief,1,1,10.272
building in pitch,1,1,14.112
in a mentorly joy,1,1,9.640
voice ringing with satisfaction,1,1,9.640
voice resonating with hope,1,1,9.931
in profound satisfaction,1,1,9.931
crescendoing with excitement,1,1,10.381
slowing down meaningfully,1,1,14.192
in a helpful tone,1,1,13.320
with gentle emphasis,1,1,11.501
in a nostalgic joy,1,1,12.840
softly groaning,1,1,11.331
weak moan,1,1,11.331
sadly groaning,1,1,11.011
softer moan,1,1,12.200
voice warm with respect,1,1,7.875
raising in a toast,1,1,7.875
voice jumping with enthusiasm,1,1,11.531
in soothing cadence,1,1,12.160
more deliberate,1,1,12.160
mock thoughtful,1,1,14.632
in passionate tones,1,1,13.891
flirtatiously quick,1,1,9.392
professionally fake,1,1,14.141
moaning louder,1,1,12.661
slow and meaningful,1,1,14.120
moaning pathetically,1,1,12.120
groaning louder,1,1,12.640
lengthening words,1,1,14.981
"geordie accent, sympathetic tone",1,1,10.040
"geordie accent, passionate whisper",1,1,10.520
"in geordie accent, defensively",1,1,10.592
"geordie accent, resigned sigh",1,1,10.811
chuckle-sob,1,1,11.251
more quietly fading,1,1,13.072
tightly,1,1,11.232
ending in weeping,1,1,17.192
voice dipping with wonder,1,1,14.235
touched beyond words,1,1,14.235
gradually building,1,1,14.379
"canadian accent, more defensively",1,1,17.672
"canadian accent, amused",1,1,14.328
with gentle authority,1,1,16.157
explaining kindly,1,1,15.576
nervous laughter building,1,1,14.309
resigned laughter,1,1,14.723
trailing into acceptance,1,1,14.723
increasingly defensive with each word,1,1,13.923
getting sharper angrier,1,1,13.667
"quickly calming, overly polite",1,1,12.960
"israeli accent, explosively",1,1,12.571
suddenly delighted,1,1,11.208
tempo accelerating,1,1,13.456
nervous excitement building,1,1,9.827
hopeful but shaky,1,1,15.467
dissolving into fresh sobs,1,1,15.467
surprised through tears,1,1,15.467
breathes heavily,1,1,15.141
small but determined,1,1,13.923
sniffling continuously,1,1,16.400
"israeli accent, curiously",1,1,14.499
wailing now,1,1,12.632
starting to panic,1,1,12.632
still crying but trying,1,1,15.963
building to passionate declaration,1,1,13.160
intensely joyful,1,1,13.160
stuttering through sobs,1,1,13.219
confused and scared,1,1,13.219
enthusiastically amazed,1,1,18.483
eager stumbling,1,1,10.925
desperate groan,1,1,13.373
reverent rumble,1,1,12.744
"african-american accent, passionately",1,1,12.765
moved to excitement,1,1,16.136
accusatory again,1,1,17.243
voice thick with want,1,1,14.899
"african-american accent, defiantly",1,1,15.984
"hispanic accent, questioningly",1,1,11.749
voice dropping worriedly,1,1,11.749
"hispanic accent, committedly",1,1,12.021
sleepy and drained,1,1,17.120
fading to almost nothing,1,1,17.120
worn out from crying,1,1,17.120
bashful grunt,1,1,14.795
"hispanic accent, doubtfully",1,1,13.808
"hispanic accent, powerfully",1,1,15.325
"hispanic accent, wonderingly",1,1,13.069
"in african-american accent, warmly",1,1,19.224
voice growing dangerous,1,1,13.341
"african-american accent, sharply",1,1,13.341
"in african-american accent, skeptically",1,1,12.824
"eastern european accent, sharp",1,1,14.907
"african-american accent, touched",1,1,14.440
enthusiastically rising,1,1,12.867
"canadian accent, hopeful",1,1,12.867
"in african-american accent, wearily",1,1,15.893
words speeding with excitement,1,1,15.779
"canadian accent, gentle persuasion",1,1,11.880
"canadian accent, sympathetic whisper",1,1,12.427
"canadian accent, defensive stutter",1,1,14.328
voice cooling deliberately,1,1,13.808
"canadian accent, sharp retort",1,1,13.808
voice becoming steeper,1,1,12.459
"canadian accent, soothing",1,1,12.459
defeated mumbling,1,1,15.720
"canadian accent, quickly",1,1,10.835
"canadian accent, hurt tone",1,1,12.611
quietly resolved,1,1,16.216
"canadian accent, relieved exhale",1,1,13.069
voice getting weaker,1,1,18.360
"in a canadian accent, diplomatically",1,1,17.019
"canadian accent, earnest",1,1,15.963
"canadian accent, cautiously",1,1,16.675
"canadian accent, desperately",1,1,13.037
"canadian accent, voice rising",1,1,14.573
voice getting tighter,1,1,16.856
"canadian accent, reassuring tone",1,1,16.856
"canadian accent, softly",1,1,14.755
"canadian accent, pragmatically",1,1,16.128
"canadian accent, firm but friendly",1,1,15.456
"canadian accent, hesitantly",1,1,14.635
voice splitting apart,1,1,13.880
deafening rage,1,1,13.880
voice dropping apologetically,1,1,14.805
"in canadian accent, cheerfully",1,1,14.805
voice becoming more determined,1,1,13.869
tired but focused,1,1,18.869
getting more violent,1,1,14.581
voice shaking walls,1,1,14.581
thunderous disbelief,1,1,14.581
spitting words out,1,1,16.224
voice rising to ceiling,1,1,16.224
each word like gunfire,1,1,14.971
slamming emphasis on each word,1,1,15.379
voice breaking into pieces,1,1,15.256
each syllable attacking,1,1,15.256
"australian accent, bitter tone",1,1,14.781
"australian accent, frustrated groan",1,1,12.909
words softening slightly,1,1,20.051
voice finally breaking down,1,1,20.051
exhausted anger,1,1,20.051
hushed disbelief,1,1,17.931
"australian accent, firm but sad",1,1,13.640
"australian accent, gruffly",1,1,11.408
rage deflating suddenly,1,1,23.301
quieter explosion,1,1,23.301
"australian accent, curiously",1,1,9.467
choked with gratitude,1,1,21.477
"london british accent, haughty tone",1,1,15.304
quieter but angry,1,1,15.611
"british accent, dismissive laugh",1,1,17.160
"british accent, faltering slightly",1,1,17.928
"british accent, resigned amusement",1,1,15.888
"steadier, cold fury",1,1,16.851
increasingly spirited,1,1,15.779
crescendoing gradually,1,1,22.864
voice cresting with pride,1,1,20.264
building emotionally,1,1,20.264
voice glowing with approval,1,1,20.264
ending with gentle laughter,1,1,19.387
"british accent, haughtily",1,1,17.763
voice brightening with memory,1,1,20.005
crescendoing with admiration,1,1,20.005
"british accent, wryly",1,1,16.328
voice firming,1,1,18.000
"british accent, cutting",1,1,15.528
"british accent, surprisingly soft",1,1,16.077
"eastern european accent, trembling with rage",1,1,14.883
"british accent, amused tone",1,1,17.787
philosophical murmur,1,1,20.221
ancient certainty,1,1,20.683
"british accent, clipped tone",1,1,19.789
"british accent, simply",1,1,20.541
"eastern european accent, broken whisper",1,1,17.779
"back to accent, resigned",1,1,17.779
voice rich with fulfillment,1,1,22.603
"eastern european accent, distant",1,1,20.645
steady intonation,1,1,20.016
"northern irish accent, suddenly decisive",1,1,14.019
with sudden courage,1,1,16.224
trembling but determined,1,1,16.224
"northern irish accent, grudgingly impressed",1,1,15.669
"eastern european accent, shaking",1,1,21.720
"northern irish accent, conflicted",1,1,16.888
"back to accent, confident",1,1,20.541
whisper building,1,1,20.541
"eastern european accent, mysterious smile in voice",1,1,20.541
"louder, over shoulder",1,1,18.600
"eastern european accent, prophetic",1,1,18.600
pause-filled speech,1,1,24.011
defensive but shaky,1,1,16.480
resigned wisdom,1,1,25.429
"northern irish accent, agitated",1,1,17.611
"jamaican patois, more forcefully",1,1,18.584
confused and hopeful,1,1,15.387
"jamaican patois, respectful whisper",1,1,16.227
bitter edge creeping in,1,1,17.533
"british accent, sharp intake",1,1,11.000
"jamaican patois, gentler tone",1,1,17.973
"british accent, dignified",1,1,14.293
"attempting british accent, weakly",1,1,15.832
giving up,1,1,15.832
"british accent, jovial",1,1,12.307
suddenly practical,1,1,8.488
"british accent, patronizing drawl",1,1,14.171
transcendent peace,1,1,26.243
voice echoing slightly,1,1,26.243
"london british accent, indignant",1,1,15.136
"australian accent, warming up",1,1,11.269
"london british accent, explosively",1,1,15.744
trailing into mumble,1,1,14.763
"british accent, false cheer",1,1,14.763
"proper british accent, stiffly",1,1,12.960
"british accent, wry tone",1,1,15.965
"london british accent, desperately",1,1,14.795
"australian accent, rougher",1,1,13.152
"london british accent, pleading",1,1,16.691
raising invisible glass,1,1,13.576
"london british accent, sarcastically",1,1,17.232
"british accent, gentler",1,1,15.616
"london british accent, bitterly",1,1,18.107
"british accent, matter-of-factly",1,1,15.728
"australian accent, grudgingly",1,1,13.925
"british accent, long pause",1,1,16.093
"british accent, philosophically",1,1,14.816
excitedly nostalgic,1,1,11.229
gleefully continuing,1,1,12.563
gentle admission,1,1,13.261
defensively quieter,1,1,13.533
shouting offstage,1,1,13.021
speedily,1,1,13.309
joyful voice,1,1,12.691
humbly joyful,1,1,13.885
faster with joy,1,1,9.757
storming out,1,1,12.328
grateful laughter,1,1,11.592
cheerful breath,1,1,13.144
"muffled, excited",1,1,9.635
"pulling back, elated",1,1,9.635
amazed chuckle,1,1,13.320
offended whisper,1,1,11.960
rapidly happy,1,1,15.720
clearing throat pompously,1,1,13.133
dancing tone,1,1,15.400
soft snicker,1,1,16.280
lingering,1,1,18.819
sobbing through words,1,1,16.965
words dragging slower,1,1,11.469
words speeding up with worry,1,1,9.891
stops short,1,1,9.891
with forced steadiness,1,1,11.099
each word more strained,1,1,12.163
relief laugh,1,1,13.128
speeds up nervously,1,1,13.128
giggling now,1,1,12.925
with growing wonder,1,1,13.408
with mock enthusiasm,1,1,14.819
with false cheer,1,1,11.637
horrified squeal,1,1,12.131
mockingly sentimental,1,1,16.176
mockingly mystical,1,1,16.597
delighted squeak,1,1,12.504
dramatic voice,1,1,12.504
speaking excitedly,1,1,16.232
singing confidently,1,1,16.232
sarcastic sing-song,1,1,15.085
gasping in awe,1,1,11.709
"slower, cruelly",1,1,15.424
singing tentatively,1,1,13.955
careful tone,1,1,18.021
overjoyed sobbing,1,1,15.624
cheering wildly,1,1,11.784
softly dangerous,1,1,17.237
whispered cruelty,1,1,14.829
"normal volume, coldly",1,1,14.829
bawling cheerfully,1,1,14.053
buzzing excitedly,1,1,10.827
matching his tone,1,1,17.275
soft conviction,1,1,15.349
sniffling with glee,1,1,15.573
voice quavering joyfully,1,1,12.621
breathlessly enthusiastic,1,1,11.960
quiet devastation,1,1,20.229
blubbering cheerfully,1,1,16.757
weeping with joy,1,1,16.757
joyful wailing,1,1,15.667
sobbing louder,1,1,15.667
bitter wisdom,1,1,21.752
tearfully elated,1,1,15.464
wailing joyfully,1,1,15.464
quiet resolution,1,1,21.653
hiccupping happily,1,1,16.341
crying louder,1,1,16.341
whimpering joyfully,1,1,16.592
whispered through tears,1,1,14.869
desperately bargaining,1,1,11.891
rapidly angry,1,1,12.784
hoarse from yelling,1,1,12.784
victorious yelling,1,1,12.912
slowing down threateningly,1,1,14.640
pedagogically,1,1,19.691
leans forward,1,1,20.309
incredulous yell,1,1,15.699
snorts loudly,1,1,15.699
sputtering furiously,1,1,12.752
mockingly high,1,1,15.011
clears throat nervously,1,1,21.867
voice growing smaller,1,1,14.675
"softer, smiling",1,1,14.248
calling after cheerfully,1,1,14.248
completely serious,1,1,11.808
"british accent, gravelly whisper",1,1,14.200
adjusting tone,1,1,14.200
"british accent, sharp intake of breath",1,1,12.141
correcting tone,1,1,16.461
quieting to murmur,1,1,15.157
earnest pause,1,1,18.424
"british accent, coolly",1,1,14.267
"chinese accent, emotionally",1,1,10.403
"chinese accent, passionate tone",1,1,14.213
voice rising with courage,1,1,15.381
in disbelief turning to joy,1,1,12.867
voice full of respect,1,1,12.800
"chinese accent, determinedly",1,1,13.789
"british accent, long sigh",1,1,15.288
immediately deflating,1,1,15.280
"normal voice, sniffling",1,1,16.451
whispered vow,1,1,16.451
speeding up frustrated,1,1,13.856
